location,year_start,year_end,duration,death_thousand,pop_thousand,severity_perthousand,severity_smu,disease,type,transmission,is_vira_only,is_vira_mixed,contains_vira,is_pandemic,intensity
european diseases in the americas,1520,1635,116,10300.0,474800.0,21.69334456613311,216.9334456613311,smallpox,viral,droplet,1,0,1,1,1.870115910873544
mexico highlands,1590,1600,11,2000.0,537100.0,3.723701359150996,37.23701359150996,typhus,bacterial,feces,0,0,0,0,3.3851830537736323
"spain and scotland and prussia, london and ireland",1596,1605,10,570.0,542440.0,1.050807462576506,10.50807462576506,plague,bacterial,airborne/bite,0,0,0,1,1.050807462576506
basel,1610,1611,2,0.0,540800.0,0.0,0.0,plague,bacterial,airborne/bite,0,0,0,0,0.0
massachusetts,1617,1619,3,0.0,537160.0,0.0,0.0,smallpox,viral,droplet,1,0,1,0,0.0
thirty years war including germany and lyon and limoges typhus epidemic,1618,1649,32,6200.0,536640.0,11.55336911150865,115.5336911150865,typhus,bacterial,feces,0,0,0,1,3.610427847346453
algiers,1620,1621,2,40.0,535600.0,0.07468259895444362,0.7468259895444362,plague,bacterial,airborne/bite,0,0,0,0,0.3734129947722181
london,1625,1625,1,100.0,533000.0,0.1876172607879925,1.876172607879925,plague,bacterial,airborne/bite,0,0,0,0,1.876172607879925
france and italy,1628,1631,4,1280.0,531440.0,2.408550353755833,24.08550353755833,plague,bacterial,airborne/bite,0,0,0,0,6.021375884389583
central new york,1630,1662,33,10.0,530400.0,0.01885369532428356,0.1885369532428356,smallpox,viral,droplet,1,0,1,0,0.0057132410073586545
protestant-catholic armies at nuremburg,1632,1632,1,18.0,529360.0,0.03400332476953302,0.3400332476953302,typhus,bacterial,feces,0,0,0,0,0.3400332476953302
quebec,1634,1640,7,0.0,528320.0,0.0,0.0,measles,viral,airborne/droplet,1,0,1,0,0.0
london and spain,1636,1637,2,33.0,527280.0,0.0625853436504324,0.625853436504324,plague,bacterial,airborne/bite,0,0,0,1,0.312926718252162
tiverton,1644,1644,1,0.0,523120.0,0.0,0.0,typhus,bacterial,feces,0,0,0,0,0.0
barbados,1647,1647,1,0.0,521560.0,0.0,0.0,yellow fever,viral,bite,1,0,1,0,0.0
"russia, rome and naples",1654,1655,2,700.0,527920.0,1.325958478557357,13.25958478557357,plague,bacterial,airborne/bite,0,0,0,1,6.629792392786785
jamaica,1655,1655,1,0.0,529900.0,0.0,0.0,yellow fever,viral,bite,1,0,1,0,0.0
"india and brazil, boston (0k) and london (0k)",1660,1669,10,108.0,539800.0,0.2000741015190811,2.000741015190811,smallpox,viral,droplet,1,0,1,1,0.2000741015190811
london,1661,1665,5,16.0,541780.0,0.02953228247628189,0.2953228247628188,typhus,bacterial,feces,0,0,0,0,0.05906456495256376
"london, germany, austria and switzerland",1663,1668,6,87.5,549700.0,0.1591777333090777,1.591777333090777,plague,bacterial,airborne/bite,0,0,0,1,0.26529622218179616
new york,1668,1668,1,0.0,555640.0,0.0,0.0,yellow fever,viral,bite,1,0,1,0,0.0
cherokee tribe,1674,1753,80,25.0,567520.0,0.04405131096701437,0.4405131096701437,smallpox,viral,droplet,1,0,1,0,0.005506413870876796
"malta, andalusia, valencia, great vienna plague",1675,1683,9,337.0,569500.0,0.591747146619842,5.917471466198419,plague,bacterial,airborne/bite,0,0,0,1,0.6574968295776021
boston,1677,1678,2,0.0,573460.0,0.0,0.0,plague,bacterial,airborne/bite,0,0,0,0,0.0
spain and prague and halle,1678,1682,5,567.0,575440.0,0.9853329626025302,9.853329626025303,plague,bacterial,airborne/bite,0,0,0,1,1.9706659252050607
london,1681,1681,1,0.0,581380.0,0.0,0.0,smallpox,viral,droplet,1,0,1,0,0.0
japan,1684,1684,1,7.0,587320.0,0.01191854525641899,0.1191854525641899,rubella,viral,droplet,1,0,1,0,0.1191854525641899
london,1685,1686,2,0.0,589300.0,0.0,0.0,typhus,bacterial,feces,0,0,0,0,0.0
"londonderry, dundalk (ireland)",1689,1689,1,8.0,597220.0,0.01339539868055323,0.1339539868055323,"typhus, dysentery",bacterial; bacterial/parasitic,feces; feces,0,0,0,0,0.1339539868055323
baghdad,1689,1690,2,150.0,597220.0,0.2511637252603731,2.511637252603731,plague,bacterial,airborne/bite,0,0,0,0,1.2558186263018656
japan,1690,1691,2,0.0,599200.0,0.0,0.0,measles,viral,airborne/droplet,1,0,1,0,0.0
charleston,1699,1699,1,0.0,617020.0,0.0,0.0,yellow fever,viral,bite,1,0,1,0,0.0
new york,1702,1702,1,0.0,624520.0,0.0,0.0,yellow fever,viral,bite,1,0,1,0,0.0
boston,1702,1703,2,0.0,624520.0,0.0,0.0,smallpox,viral,droplet,1,0,1,0,0.0
augsburg (germany),1703,1704,2,0.0,627280.0,0.0,0.0,typhus,bacterial,feces,0,0,0,0,0.0
poland and baltic nations,1704,1713,10,425.0,630040.0,0.6745603453748968,6.745603453748968,plague,bacterial,airborne/bite,0,0,0,1,0.6745603453748968
charleston,1706,1706,1,0.0,635560.0,0.0,0.0,yellow fever,viral,bite,1,0,1,0,0.0
iceland,1707,1709,3,15.0,638320.0,0.02349918536157413,0.2349918536157413,smallpox,viral,droplet,1,0,1,0,0.07833061787191377
europe,1708,1709,2,0.0,641080.0,0.0,0.0,influenza,viral,droplet,1,0,1,0,0.0
london and ireland,1709,1720,12,41.0,643840.0,0.06368041749502983,0.6368041749502983,typhus,bacterial,feces,0,0,0,0,0.053067014579191524
quebec,1710,1710,1,0.0,646600.0,0.0,0.0,yellow fever,viral,bite,1,0,1,0,0.0
europe,1712,1712,1,0.0,652120.0,0.0,0.0,influenza,viral,droplet,1,0,1,0,0.0
cape colony (south africa),1713,1713,1,10.0,654880.0,0.0152699731248473,0.152699731248473,smallpox,viral,droplet,1,0,1,0,0.152699731248473
usa civil war,1716,1716,1,7.1,663160.0,0.01070631521804693,0.1070631521804693,smallpox,viral,droplet,1,0,1,0,0.1070631521804693
marseille and astrakhan,1720,1730,11,100.0,674200.0,0.1483239394838327,1.483239394838327,plague,bacterial,airborne/bite,0,0,0,1,0.13483994498530244
london and boston,1721,1722,2,0.0,676960.0,0.0,0.0,smallpox,viral,droplet,1,0,1,0,0.0
london and ireland,1726,1729,4,19.0,690760.0,0.02750593549134287,0.2750593549134287,typhus,bacterial,feces,0,0,0,0,0.06876483872835717
charleston,1728,1728,1,0.0,696280.0,0.0,0.0,yellow fever,viral,bite,1,0,1,0,0.0
europe,1729,1730,2,0.0,699040.0,0.0,0.0,influenza,viral,droplet,1,0,1,0,0.0
