"pathogen","estimate","se","arrival_share","viral_family","has_prototype","airborne","ci_lower","ci_upper"
"Chikungunya",0.0632034877271,0.0290749600085924,0.0643,"Togaviridae","Has prototype","No",0.00621656611025894,0.120190409343941
"Coronavirus",0.231652867982611,0.0273881887574185,0.2239,"Coronaviridae","Has prototype","Yes",0.177972018018071,0.285333717947151
"CCHF",0.0148159950148351,0.0082961298017682,NA,NA,"No prototype",NA,-0.00144441939663055,0.0310764094263008
"Ebola",0.036632196242801,0.0106790847180493,0.0373,"Filoviridae","Has prototype","No",0.0157011901954244,0.0575632022901777
"Flu",0.332704479846154,0.0619963137304796,0.3294,"Orthomyxoviridae","Has prototype","Yes",0.211191704934414,0.454217254757893
"Lassa",0.0189599991588392,0.00775314875913584,0.0193,"Arenaviridae","No prototype","No",0.00376382759093299,0.0341561707267455
"Nipah",0.0563291659397707,0.0314034146209812,0.0605,"Paramyxoviridae","Has prototype","No",-0.00522152671735253,0.117879858596894
"Other known virus",0,0,0,"Unknown","No prototype","Unknown",0,0
"Rift valley fever",0.0312990762037986,0.0157009722473089,0.0327,"Phenuiviridae","No prototype","No",0.000525170599073102,0.0620729818085242
"Unknown virus",0.136495840224092,0.0288853003788555,NA,NA,"No prototype",NA,0.0798806514815352,0.193111028966649
"Zika",0.0779068916599985,0.0193925606508284,0.0711,"Flaviviridae","Has prototype","No",0.0398974727843749,0.115916310535622
