pathogen,platform,has_prototype,ptrs
chikungunya,mrna_only,1,0.382475857905356
chikungunya,traditional_only,1,0.5335419796562002
coronavirus,mrna_only,1,0.4675372903817089
coronavirus,traditional_only,1,0.5894744266887288
crimean_congo_hemorrhagic_fever,mrna_only,1,0.2632993147597648
crimean_congo_hemorrhagic_fever,mrna_only,0,0.20004811927823613
crimean_congo_hemorrhagic_fever,traditional_only,1,0.3683833721736311
crimean_congo_hemorrhagic_fever,traditional_only,0,0.3000409160937373
ebola,mrna_only,1,0.3593732114220516
ebola,traditional_only,1,0.5237687498124417
flu,mrna_only,1,0.42662267757200345
flu,traditional_only,1,0.5754359383131655
lassa,mrna_only,1,0.41643768669245496
lassa,mrna_only,0,0.35318649121092627
lassa,traditional_only,1,0.5544033534282743
lassa,traditional_only,0,0.4860608973483805
nipah,mrna_only,1,0.2870096511998721
nipah,traditional_only,1,0.4343741871161635
rift_valley_fever,mrna_only,1,0.35105735961502393
rift_valley_fever,mrna_only,0,0.28780616413349525
rift_valley_fever,traditional_only,1,0.49228327641281444
rift_valley_fever,traditional_only,0,0.42394082033292063
zika,mrna_only,1,0.23489801442151115
zika,traditional_only,1,0.36145552063968983
