disease,platform,respondent,value_min,value_max,pathogen,has_prototype
cchf,both,4,0.5,0.59,crimean-congo_hemorrhagic_fever,0
cchf,mrna_only,4,0.0,0.09,crimean-congo_hemorrhagic_fever,0
cchf,traditional_only,4,0.3,0.39,crimean-congo_hemorrhagic_fever,0
cchf,mrna_only,5,0.1,0.19,crimean-congo_hemorrhagic_fever,0
cchf,traditional_only,5,0.1,0.19,crimean-congo_hemorrhagic_fever,0
cchf,both,11,,,crimean-congo_hemorrhagic_fever,0
cchf,mrna_only,11,,,crimean-congo_hemorrhagic_fever,0
cchf,traditional_only,11,,,crimean-congo_hemorrhagic_fever,0
cchf,mrna_only,12,0.2,0.29,crimean-congo_hemorrhagic_fever,0
cchf,both,18,0.2,1.0,crimean-congo_hemorrhagic_fever,0
cchf,mrna_only,18,0.11,0.11,crimean-congo_hemorrhagic_fever,0
cchf,traditional_only,18,0.11,0.11,crimean-congo_hemorrhagic_fever,0
chikungunya,both,4,0.7,0.7,chikungunya,1
chikungunya,mrna_only,4,0.1,0.19,chikungunya,1
chikungunya,traditional_only,4,0.3,0.39,chikungunya,1
chikungunya,mrna_only,5,0.7,0.79,chikungunya,1
chikungunya,traditional_only,5,0.7,0.79,chikungunya,1
chikungunya,both,11,0.7,1.0,chikungunya,1
chikungunya,mrna_only,11,0.7,0.79,chikungunya,1
chikungunya,traditional_only,11,0.7,1.0,chikungunya,1
chikungunya,both,12,0.9,1.0,chikungunya,1
chikungunya,mrna_only,12,0.3,0.39,chikungunya,1
chikungunya,traditional_only,12,0.9,1.0,chikungunya,1
chikungunya,both,18,0.4,1.0,chikungunya,1
chikungunya,mrna_only,18,0.22,0.22,chikungunya,1
chikungunya,traditional_only,18,0.22,0.22,chikungunya,1
covid-19,both,4,0.7,0.7,coronavirus,1
covid-19,mrna_only,4,0.4,0.49,coronavirus,1
covid-19,traditional_only,4,0.3,0.39,coronavirus,1
covid-19,mrna_only,5,0.5,0.59,coronavirus,1
covid-19,traditional_only,5,0.5,0.59,coronavirus,1
covid-19,both,11,0.7,1.0,coronavirus,1
covid-19,mrna_only,11,0.8,0.89,coronavirus,1
covid-19,traditional_only,11,0.7,1.0,coronavirus,1
covid-19,both,12,0.9,1.0,coronavirus,1
covid-19,mrna_only,12,0.9,1.0,coronavirus,1
covid-19,traditional_only,12,0.9,1.0,coronavirus,1
covid-19,both,18,0.9,1.0,coronavirus,1
covid-19,mrna_only,18,0.9,1.0,coronavirus,1
covid-19,traditional_only,18,0.9,1.0,coronavirus,1
ebola,both,4,0.6,0.69,ebola,1
ebola,mrna_only,4,0.0,0.09,ebola,1
ebola,traditional_only,4,0.5,0.59,ebola,1
ebola,mrna_only,5,0.1,0.19,ebola,1
ebola,traditional_only,5,0.1,0.19,ebola,1
ebola,both,11,0.7,1.0,ebola,1
ebola,mrna_only,11,0.7,0.79,ebola,1
ebola,traditional_only,11,0.7,1.0,ebola,1
ebola,both,12,0.9,1.0,ebola,1
ebola,mrna_only,12,0.2,0.29,ebola,1
ebola,traditional_only,12,0.9,1.0,ebola,1
ebola,both,18,0.75,1.0,ebola,1
ebola,mrna_only,18,0.5,1.0,ebola,1
ebola,traditional_only,18,0.5,1.0,ebola,1
flu,both,4,0.5,0.59,flu,1
flu,mrna_only,4,0.1,0.19,flu,1
flu,traditional_only,4,0.4,0.49,flu,1
flu,mrna_only,5,0.1,0.19,flu,1
flu,traditional_only,5,0.1,0.19,flu,1
flu,both,11,0.7,1.0,flu,1
flu,mrna_only,11,0.5,0.59,flu,1
flu,traditional_only,11,0.7,1.0,flu,1
flu,both,12,0.9,1.0,flu,1
flu,mrna_only,12,0.9,1.0,flu,1
flu,traditional_only,12,0.9,1.0,flu,1
flu,both,18,0.9,1.0,flu,1
flu,mrna_only,18,0.5,1.0,flu,1
flu,traditional_only,18,0.9,1.0,flu,1
lassa,both,4,0.4,0.49,lassa,0
lassa,mrna_only,4,0.0,0.09,lassa,0
lassa,traditional_only,4,0.5,0.59,lassa,0
lassa,mrna_only,5,0.4,0.49,lassa,0
lassa,traditional_only,5,0.4,0.49,lassa,0
lassa,both,11,0.7,1.0,lassa,0
lassa,mrna_only,11,0.6,0.69,lassa,0
lassa,traditional_only,11,0.7,1.0,lassa,0
lassa,both,12,0.9,1.0,lassa,0
lassa,mrna_only,12,0.4,0.49,lassa,0
lassa,traditional_only,12,0.9,1.0,lassa,0
lassa,both,18,0.4,1.0,lassa,0
lassa,mrna_only,18,0.22,0.22,lassa,0
lassa,traditional_only,18,0.22,0.22,lassa,0
mers,both,4,0.7,0.7,coronavirus,1
mers,mrna_only,4,0.6,0.69,coronavirus,1
mers,traditional_only,4,0.4,0.49,coronavirus,1
mers,mrna_only,5,0.0,0.09,coronavirus,1
mers,traditional_only,5,0.0,0.09,coronavirus,1
mers,both,11,0.7,1.0,coronavirus,1
mers,mrna_only,11,0.2,0.29,coronavirus,1
mers,traditional_only,11,0.7,1.0,coronavirus,1
mers,both,12,0.9,1.0,coronavirus,1
mers,mrna_only,12,0.9,1.0,coronavirus,1
mers,traditional_only,12,0.9,1.0,coronavirus,1
mers,both,18,0.4,1.0,coronavirus,1
mers,mrna_only,18,0.22,0.22,coronavirus,1
mers,traditional_only,18,0.22,0.22,coronavirus,1
nipah,both,4,0.4,0.49,nipah,1
nipah,mrna_only,4,0.0,0.09,nipah,1
nipah,traditional_only,4,0.3,0.39,nipah,1
nipah,mrna_only,5,0.5,0.59,nipah,1
nipah,traditional_only,5,0.5,0.59,nipah,1
nipah,both,11,0.5,0.59,nipah,1
nipah,mrna_only,11,0.4,0.49,nipah,1
nipah,traditional_only,11,0.5,0.59,nipah,1
nipah,both,12,0.8,0.89,nipah,1
nipah,mrna_only,12,0.3,0.39,nipah,1
nipah,traditional_only,12,0.7,0.79,nipah,1
nipah,both,18,0.4,1.0,nipah,1
nipah,mrna_only,18,0.22,0.22,nipah,1
nipah,traditional_only,18,0.22,0.22,nipah,1
rift_valley_fever,both,4,0.3,0.39,rift_valley_fever,0
rift_valley_fever,mrna_only,4,0.0,0.09,rift_valley_fever,0
rift_valley_fever,traditional_only,4,0.3,0.39,rift_valley_fever,0
rift_valley_fever,mrna_only,5,0.5,0.59,rift_valley_fever,0
rift_valley_fever,traditional_only,5,0.5,0.59,rift_valley_fever,0
rift_valley_fever,both,11,0.4,0.49,rift_valley_fever,0
rift_valley_fever,mrna_only,11,0.4,0.49,rift_valley_fever,0
rift_valley_fever,traditional_only,11,0.3,0.39,rift_valley_fever,0
rift_valley_fever,both,12,0.8,0.89,rift_valley_fever,0
rift_valley_fever,mrna_only,12,0.4,0.49,rift_valley_fever,0
rift_valley_fever,traditional_only,12,0.8,0.89,rift_valley_fever,0
rift_valley_fever,both,18,0.4,1.0,rift_valley_fever,0
rift_valley_fever,mrna_only,18,0.22,0.22,rift_valley_fever,0
rift_valley_fever,traditional_only,18,0.22,0.22,rift_valley_fever,0
zika,both,4,0.4,0.49,zika,1
zika,mrna_only,4,0.0,0.09,zika,1
zika,traditional_only,4,0.3,0.39,zika,1
zika,mrna_only,5,0.0,0.09,zika,1
zika,traditional_only,5,0.0,0.09,zika,1
zika,both,11,0.4,0.49,zika,1
zika,mrna_only,11,0.3,0.39,zika,1
zika,traditional_only,11,0.4,0.49,zika,1
zika,both,12,0.9,1.0,zika,1
zika,mrna_only,12,0.2,0.29,zika,1
zika,traditional_only,12,0.8,0.89,zika,1
zika,both,18,0.75,1.0,zika,1
