disease,has_adv_rd,respondent,years_min,years_max,viral_family
cchf,0,4,0.0,3.0,nairoviridae
cchf,0,5,4.0,5.0,nairoviridae
cchf,0,11,6.0,7.0,nairoviridae
cchf,0,18,6.0,7.0,nairoviridae
cchf,1,4,1.0,2.0,nairoviridae
cchf,1,5,1.0,2.0,nairoviridae
cchf,1,11,6.0,7.0,nairoviridae
cchf,1,18,1.0,2.0,nairoviridae
chikungunya,1,4,1.0,2.0,togaviridae
chikungunya,1,5,0.5,0.9166666666666666,togaviridae
chikungunya,1,11,3.0,5.0,togaviridae
chikungunya,1,18,1.0,2.0,togaviridae
covid-19,1,4,0.5,0.9166666666666666,coronaviridae
covid-19,1,5,0.5,0.9166666666666666,coronaviridae
covid-19,1,11,3.0,5.0,coronaviridae
covid-19,1,18,0.0,0.5,coronaviridae
ebola,1,4,1.0,2.0,filoviridae
ebola,1,5,1.0,2.0,filoviridae
ebola,1,11,3.0,5.0,filoviridae
ebola,1,18,1.0,2.0,filoviridae
flu,0,4,0.0,3.0,orthomyxoviridae
flu,0,5,6.0,7.0,orthomyxoviridae
flu,0,11,4.0,5.0,orthomyxoviridae
flu,0,17,0.0,3.0,orthomyxoviridae
flu,0,18,0.0,3.0,orthomyxoviridae
flu,1,4,0.5,0.9166666666666666,orthomyxoviridae
flu,1,5,1.0,2.0,orthomyxoviridae
flu,1,11,3.0,5.0,orthomyxoviridae
flu,1,18,0.0,0.5,orthomyxoviridae
lassa,0,4,0.0,3.0,arenaviridae
lassa,0,5,6.0,7.0,arenaviridae
lassa,0,11,6.0,7.0,arenaviridae
lassa,0,18,4.0,5.0,arenaviridae
lassa,1,4,1.0,2.0,arenaviridae
lassa,1,5,1.0,2.0,arenaviridae
lassa,1,11,3.0,5.0,arenaviridae
lassa,1,18,1.0,2.0,arenaviridae
mers,0,4,0.0,3.0,coronaviridae
mers,0,5,6.0,7.0,coronaviridae
mers,0,11,6.0,7.0,coronaviridae
mers,0,17,0.0,3.0,coronaviridae
mers,0,18,4.0,5.0,coronaviridae
mers,1,4,1.0,2.0,coronaviridae
mers,1,5,3.0,5.0,coronaviridae
mers,1,11,3.0,5.0,coronaviridae
mers,1,18,1.0,2.0,coronaviridae
nipah,0,4,0.0,3.0,paramyxoviridae
nipah,0,5,4.0,5.0,paramyxoviridae
nipah,0,11,6.0,7.0,paramyxoviridae
nipah,0,18,4.0,5.0,paramyxoviridae
nipah,1,4,1.0,2.0,paramyxoviridae
nipah,1,5,0.5,0.9166666666666666,paramyxoviridae
nipah,1,11,3.0,5.0,paramyxoviridae
nipah,1,18,1.0,2.0,paramyxoviridae
rift_valley_fever,0,4,4.0,5.0,phenuiviridae
rift_valley_fever,0,5,4.0,5.0,phenuiviridae
rift_valley_fever,0,11,8.0,10.0,phenuiviridae
rift_valley_fever,0,18,4.0,5.0,phenuiviridae
rift_valley_fever,1,4,3.0,5.0,phenuiviridae
rift_valley_fever,1,5,1.0,2.0,phenuiviridae
rift_valley_fever,1,11,3.0,5.0,phenuiviridae
rift_valley_fever,1,18,1.0,2.0,phenuiviridae
zika,0,4,4.0,5.0,flaviviridae
zika,0,5,8.0,10.0,flaviviridae
zika,0,11,4.0,5.0,flaviviridae
zika,0,17,0.0,3.0,flaviviridae
zika,0,18,4.0,5.0,flaviviridae
zika,1,4,1.0,2.0,flaviviridae
zika,1,5,3.0,5.0,flaviviridae
zika,1,11,3.0,5.0,flaviviridae
zika,1,18,1.0,2.0,flaviviridae
