country,region,economic_classification,pop,wwt_percent
Afghanistan,Southern Asia,Low income,42647492.0,0.0
Albania,Eastern Europe & Central Asia,Upper middle income,2377128.0,33.4
Algeria,Middle East & North Africa,Upper middle income,46814308.0,41.7
American Samoa,East Asia & Pacific,Upper middle income,46765.0,43.08
Andorra,Western Europe,High income,81938.0,100.0
Angola,Sub-Saharan Africa,Lower middle income,37885849.0,4.29
Antigua and Barbuda,Latin America & Caribbean,High income,93772.0,44.4
Argentina,Latin America & Caribbean,Upper middle income,45696159.0,11.8
Armenia,Eastern Europe & Central Asia,Lower middle income,3033500.0,14.6
Aruba,Latin America & Caribbean,High income,107995.0,65.01
Australia,East Asia & Pacific,High income,27196812.0,92.9
Austria,Western Europe,High income,9177982.0,100.0
Azerbaijan,Eastern Europe & Central Asia,Upper middle income,10202830.0,38.09
Bahamas,Latin America & Caribbean,High income,,63.0
Bahrain,Middle East & North Africa,High income,1588670.0,64.9
Bangladesh,Southern Asia,Lower middle income,173562364.0,2.0
Barbados,Latin America & Caribbean,High income,282467.0,48.21
Belarus,Eastern Europe & Central Asia,Upper middle income,9132629.0,62.8
Belgium,Western Europe,High income,11858610.0,78.2
Belize,Latin America & Caribbean,Upper middle income,417072.0,31.04
Benin,Sub-Saharan Africa,Low income,14462724.0,0.0
Bermuda,North America,High income,64636.0,93.41
Bhutan,Southern Asia,Lower middle income,791524.0,14.36
Bolivia,Latin America & Caribbean,Lower middle income,12413315.0,14.0
Bosnia and Herzegovina,Eastern Europe & Central Asia,Upper middle income,3164253.0,31.3
Botswana,Sub-Saharan Africa,Upper middle income,2521139.0,36.0
Brazil,Latin America & Caribbean,Upper middle income,211998573.0,40.8
British Virgin Islands,Latin America & Caribbean,High income,39471.0,70.58
Brunei Darussalam,East Asia & Pacific,High income,462721.0,68.14
Bulgaria,Eastern Europe & Central Asia,Upper middle income,6441421.0,54.6
Burkina Faso,Sub-Saharan Africa,Low income,23548781.0,2.0
Burundi,Sub-Saharan Africa,Low income,14047786.0,0.0
Cabo Verde,Sub-Saharan Africa,Lower middle income,524877.0,16.47
Cambodia,East Asia & Pacific,Lower middle income,17638801.0,0.0
Cameroon,Sub-Saharan Africa,Lower middle income,29123744.0,0.0
Canada,North America,High income,41288599.0,68.0
Cayman Islands,Latin America & Caribbean,High income,74457.0,88.02
Central African Republic,Sub-Saharan Africa,Low income,5330690.0,0.0
Chad,Sub-Saharan Africa,Low income,20299123.0,0.0
Channel Islands,Western Europe,High income,168126.0,76.29
Chile,Latin America & Caribbean,High income,19764771.0,84.0
China,East Asia & Pacific,Upper middle income,1408975000.0,49.0
Colombia,Latin America & Caribbean,Upper middle income,52886363.0,11.3
Comoros,Sub-Saharan Africa,Low income,866628.0,0.0
Democratic Republic of the Congo,Sub-Saharan Africa,Low income,,0.0
Republic of the Congo,Sub-Saharan Africa,Lower middle income,,7.92
Costa Rica,Latin America & Caribbean,Upper middle income,5129910.0,15.2
Cote d Ivoire,Sub-Saharan Africa,Lower middle income,,0.0
Croatia,Eastern Europe & Central Asia,Upper middle income,3866200.0,20.6
Cuba,Latin America & Caribbean,Upper middle income,10979783.0,24.6
Curacao,Latin America & Caribbean,High income,155967.0,61.66
Cyprus,Eastern Europe & Central Asia,High income,1358282.0,62.5
Czech Republic,Eastern Europe & Central Asia,High income,,96.8
Denmark,Western Europe,High income,5976992.0,69.3
Djibouti,Middle East & North Africa,Lower middle income,1168722.0,3.18
Dominica,Latin America & Caribbean,Upper middle income,66205.0,39.07
Dominican Republic,Latin America & Caribbean,Upper middle income,11427557.0,9.7
Ecuador,Latin America & Caribbean,Upper middle income,18135478.0,36.8
Egypt,Middle East & North Africa,Lower middle income,116538258.0,56.7
El Salvador,Latin America & Caribbean,Lower middle income,6338193.0,2.5
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,1892516.0,31.09
Eritrea,Sub-Saharan Africa,Low income,3535603.0,0.0
Estonia,Eastern Europe & Central Asia,High income,1372341.0,36.0
Ethiopia,Sub-Saharan Africa,Low income,132059767.0,0.0
Faroe Islands,Western Europe,High income,54681.0,74.67
Fiji,East Asia & Pacific,Upper middle income,928784.0,36.03
Finland,Western Europe,High income,5619911.0,72.6
France,Western Europe,High income,68551653.0,80.3
French Polynesia,East Asia & Pacific,High income,281807.0,50.15
Gabon,Sub-Saharan Africa,Upper middle income,2538952.0,35.91
Gambia,Sub-Saharan Africa,Low income,,0.0
Georgia,Eastern Europe & Central Asia,Lower middle income,3699557.0,34.48
Germany,Western Europe,High income,83516593.0,97.0
Ghana,Sub-Saharan Africa,Lower middle income,34427414.0,6.3
