date,cum_vax_rate,rollout_month
2020-12-16,0.10141391000000001,1
2021-01-16,0.10180016,2
2021-02-14,0.10536536999999999,3
2021-03-16,0.11337557000000001,4
2021-04-15,0.12701297,5
2021-05-16,0.14762793,6
2021-06-15,0.16840937,7
2021-07-16,0.19960777,8
2021-08-16,0.24107412,9
2021-09-15,0.31012522,10
2021-10-16,0.3614949,11
2021-11-15,0.4076016,12
2021-12-16,0.46793846,13
2022-01-16,0.50956627,14
2022-02-14,0.53981014,15
2022-03-16,0.56270775,16
2022-04-15,0.5782989,17
2022-05-16,0.5882101,18
2022-06-15,0.5970018,19
2022-07-16,0.6070324,20
2022-08-16,0.6145117,21
2022-09-15,0.61915085,22
2022-10-16,0.62445454,23
2022-11-15,0.62836414,24
2022-12-16,0.6331086,25
2023-01-16,0.63686043,26
2023-02-14,0.6397728,27
2023-03-16,0.6428546,28
2023-04-15,0.6453507,29
2023-05-16,0.64693985,30
2023-06-15,0.6486324,31
2023-07-16,0.64935036,32
2023-08-16,0.6498166999999999,33
2023-09-15,0.6501724,34
2023-10-16,0.650474,35
2023-11-15,0.6506412,36
2023-12-16,0.6508889000000001,37
2024-01-16,0.6509572,38
2024-02-15,0.65095764,39
2024-03-16,0.6509582,40
2024-04-15,0.6509592999999999,41
2024-05-16,0.6509598,42
2024-06-15,0.6509598,43
2024-07-16,0.65095985,44
2024-08-16,0.65095985,45
