location,year_start,year_end,duration,death_thousand,pop_thousand,severity_perthousand,severity,disease,type,transmission,is_vira_only,is_vira_mixed,contains_vira,is_pandemic,unidentified,airborne,contagious,recurrent_1900,recurrent_1950,intensity
south africa,1900,1904,5,40.0,1633000.0,0.024494794856093,0.2449479485609308,pneumonia,bacterial/viral,unknown,0,1,1,0,True,True,True,False,False,0.0489895897121861
uganda and tanzania,1900,1909,10,100.0,1633000.0,0.0612369871402326,0.6123698714023269,sleeping sickness,parasitic,bite,0,0,0,0,False,False,False,True,True,0.0612369871402326
"russia, france, england, wales, italy, hungary, spain, belgium, portugal, egypt, germany, north america, brazil",1900,1950,51,1510.0,1633000.0,0.9246785058175138,9.24678505817514,smallpox,viral,droplet,1,0,1,1,False,True,True,True,True,0.1813095109446105
italy,1901,1905,5,60.0,1646050.0,0.0364508976033534,0.3645089760335348,whooping cough,bacterial,droplet,0,0,0,0,False,True,True,True,True,0.0729017952067069
fiji islands,1903,1903,1,48.0,1672150.0,0.028705558711838,0.2870555871183805,measles,viral,airborne/droplet,1,0,1,0,False,True,True,True,True,0.2870555871183805
india,1903,1907,5,5521.0,1672150.0,3.301737284334539,33.01737284334539,plague,bacterial,airborne/bite,0,0,0,0,False,True,True,True,True,6.603474568669078
japan,1908,1908,1,5.8,1737400.0,0.0033383216300218,0.0333832163002187,smallpox,viral,droplet,1,0,1,0,False,True,True,True,True,0.0333832163002187
"china, manchuria, indonesia (java), morocco, vietnam",1910,1915,6,89.4,1763500.0,0.0506946413382478,0.5069464133824781,plague,bacterial,airborne/bite,0,0,0,1,False,True,True,True,True,0.0844910688970796
chad,1912,1940,29,700.0,1790950.0,0.3908540160250146,3.908540160250146,sleeping sickness,parasitic,bite,0,0,0,0,False,False,False,True,True,0.1347772469051774
austrian invasion in serbia,1914,1914,1,195.0,1808392.857142857,0.1078305519897304,1.078305519897304,typhus,bacterial,feces,0,0,0,0,False,False,True,True,True,1.078305519897304
american polio epidemic,1916,1916,1,7.0,1839179.0,0.0038060460672941,0.0380604606729415,polio,viral,droplet/feces,1,0,1,0,False,True,True,True,True,0.0380604606729415
american army,1917,1917,1,3.0,1859575.0,0.0016132718497506,0.0161327184975061,measles,viral,airborne/droplet,1,0,1,0,False,True,True,True,True,0.0161327184975061
wwi and russian revolution,1917,1925,9,3000.0,1859575.0,1.613271849750615,16.13271849750615,typhus,bacterial,feces,0,0,0,1,False,False,True,True,True,1.792524277500683
