Country	Region	Economic_Classification	WWc_Percent	WWt_Percent	WWr_Percent
Afghanistan	Southern Asia	Low income	0.00	0.00	0.00
Albania	Eastern Europe & Central Asia	Upper middle income	38.37	33.40	9.53
Algeria	Middle East & North Africa	Upper middle income	86.00	41.70	7.96
American Samoa	East Asia & Pacific	Upper middle income	51.01	43.08	5.94
Andorra	Western Europe	High income	100.00	100.00	48.11
Angola	Sub-Saharan Africa	Lower middle income	7.60	4.29	0.00
Antigua and Barbuda	Latin America & Caribbean	High income	50.80	44.40	44.40
Argentina	Latin America & Caribbean	Upper middle income	47.00	11.80	2.96
Armenia	Eastern Europe & Central Asia	Lower middle income	49.56	14.60	0.83
Aruba	Latin America & Caribbean	High income	73.67	65.01	62.92
Australia	East Asia & Pacific	High income	95.10	92.90	48.95
Austria	Western Europe	High income	100.00	100.00	0.12
Azerbaijan	Eastern Europe & Central Asia	Upper middle income	51.76	38.09	10.39
Bahamas	Latin America & Caribbean	High income	68.87	63.00	40.11
Bahrain	Middle East & North Africa	High income	64.90	64.90	23.16
Bangladesh	Southern Asia	Lower middle income	2.50	2.00	0.00
Barbados	Latin America & Caribbean	High income	55.09	48.21	46.82
Belarus	Eastern Europe & Central Asia	Upper middle income	78.50	62.80	0.78
Belgium	Western Europe	High income	78.20	78.20	38.55
Belize	Latin America & Caribbean	Upper middle income	43.18	31.04	0.00
Benin	Sub-Saharan Africa	Low income	0.42	0.00	0.00
Bermuda	North America	High income	100.00	93.41	58.20
Bhutan	Southern Asia	Lower middle income	25.46	14.36	0.00
Bolivia (Plurinational State of)	Latin America & Caribbean	Lower middle income	26.40	14.00	0.00
Bosnia and Herzegovina	Eastern Europe & Central Asia	Upper middle income	52.44	31.30	0.00
Botswana	Sub-Saharan Africa	Upper middle income	46.74	36.00	17.10
Brazil	Latin America & Caribbean	Upper middle income	54.90	40.80	0.67
British Virgin Islands	Latin America & Caribbean	High income	79.34	70.58	70.58
Brunei Darussalam	East Asia & Pacific	High income	76.13	68.14	0.00
Bulgaria	Eastern Europe & Central Asia	Upper middle income	81.70	54.60	12.76
Burkina Faso	Sub-Saharan Africa	Low income	3.42	2.00	1.99
Burundi	Sub-Saharan Africa	Low income	0.00	0.00	0.00
Cabo Verde	Sub-Saharan Africa	Lower middle income	27.67	16.47	16.47
Cambodia	East Asia & Pacific	Lower middle income	9.87	0.00	0.00
Cameroon	Sub-Saharan Africa	Lower middle income	0.60	0.00	0.00
Canada	North America	High income	87.60	68.00	3.47
Cayman Islands	Latin America & Caribbean	High income	96.75	88.02	78.11
Central African Republic	Sub-Saharan Africa	Low income	0.00	0.00	0.00
Chad	Sub-Saharan Africa	Low income	0.00	0.00	0.00
Channel Islands	Western Europe	High income	82.81	76.29	13.69
Chile	Latin America & Caribbean	High income	99.90	84.00	3.49
China	East Asia & Pacific	Upper middle income	49.00	49.00	13.50
Colombia	Latin America & Caribbean	Upper middle income	68.00	11.30	0.00
Comoros	Sub-Saharan Africa	Low income	2.79	0.00	0.00
Congo Dem Republic	Sub-Saharan Africa	Low income	0.00	0.00	0.00
Congo Rep	Sub-Saharan Africa	Lower middle income	21.28	7.92	0.00
Costa Rica	Latin America & Caribbean	Upper middle income	27.40	15.20	0.00
Cote d Ivoire	Sub-Saharan Africa	Lower middle income	6.10	0.00	0.00
Croatia	Eastern Europe & Central Asia	Upper middle income	73.80	20.60	0.00
Cuba	Latin America & Caribbean	Upper middle income	75.55	24.60	1.21
Curacao	Latin America & Caribbean	High income	71.59	61.66	61.66
Cyprus	Eastern Europe & Central Asia	High income	62.50	62.50	62.50
Czech Republic	Eastern Europe & Central Asia	High income	96.90	96.80	12.68
Denmark	Western Europe	High income	69.30	69.30	16.23
Djibouti	Middle East & North Africa	Lower middle income	14.55	3.18	0.93
Dominica	Latin America & Caribbean	Upper middle income	49.89	39.07	5.00
Dominican Republic	Latin America & Caribbean	Upper middle income	20.90	9.70	0.00
Ecuador	Latin America & Caribbean	Upper middle income	48.90	36.80	0.00
Egypt	Middle East & North Africa	Lower middle income	91.80	56.70	23.44
El Salvador	Latin America & Caribbean	Lower middle income	37.40	2.50	0.00
Equatorial Guinea	Sub-Saharan Africa	Upper middle income	34.85	31.09	15.21
Eritrea	Sub-Saharan Africa	Low income	0.00	0.00	0.00
Estonia	Eastern Europe & Central Asia	High income	81.00	36.00	3.19
Ethiopia	Sub-Saharan Africa	Low income	2.00	0.00	0.00
Faroe Islands	Western Europe	High income	79.98	74.67	13.31
Fiji	East Asia & Pacific	Upper middle income	49.11	36.03	7.07
Finland	Western Europe	High income	72.60	72.60	0.00
France	Western Europe	High income	80.30	80.30	9.45
French Polynesia	East Asia & Pacific	High income	56.12	50.15	16.17
Gabon	Sub-Saharan Africa	Upper middle income	45.79	35.91	0.00
Gambia	Sub-Saharan Africa	Low income	0.67	0.00	0.00
Georgia	Eastern Europe & Central Asia	Lower middle income	50.58	34.48	0.53
Germany	Western Europe	High income	99.40	97.00	24.98
Ghana	Sub-Saharan Africa	Lower middle income	12.10	6.30	0.00
Gibraltar	Western Europe	High income	96.01	87.39	77.16
Greece	Western Europe	High income	78.10	78.10	39.12
Grenada	Latin America & Caribbean	Upper middle income	55.59	44.47	22.22
Guam	East Asia & Pacific	High income	84.58	75.13	17.34
Guatemala	Latin America & Caribbean	Lower middle income	35.50	23.94	3.40
Guinea	Sub-Saharan Africa	Low income	0.00	0.00	0.00
Guinea-Bissau	Sub-Saharan Africa	Low income	0.00	0.00	0.00
Guyana	Latin America & Caribbean	Upper middle income	29.81	20.28	0.00
Haiti	Latin America & Caribbean	Low income	4.16	0.00	0.00
Honduras	Latin America & Caribbean	Lower middle income	34.70	19.47	0.00
Hong Kong SAR	East Asia & Pacific	High income	82.50	74.96	15.55
Hungary	Eastern Europe & Central Asia	High income	96.00	96.00	7.58
Iceland	Western Europe	High income	86.90	79.65	14.47
India	Southern Asia	Lower middle income	32.70	19.20	2.80
Indonesia	East Asia & Pacific	Lower middle income	45.24	29.77	4.56
Iran (Islamic Republic of)	Middle East & North Africa	Upper middle income	30.20	21.75	19.52
Iraq	Middle East & North Africa	Upper middle income	28.20	28.20	0.46
Ireland	Western Europe	High income	96.70	94.30	1.74
Isle of Man	Western Europe	High income	85.20	81.62	14.93
Israel	Middle East & North Africa	High income	92.60	92.30	92.30
Italy	Western Europe	High income	86.90	82.60	31.68
Jamaica	Latin America & Caribbean	Upper middle income	46.83	33.69	0.00
Japan	East Asia & Pacific	High income	70.70	70.70	0.80
Jordan	Middle East & North Africa	Lower middle income	62.10	62.10	38.32
Kazakhstan	Eastern Europe & Central Asia	Upper middle income	60.25	48.87	12.38
Kenya	Sub-Saharan Africa	Lower middle income	6.50	0.00	0.00
Kiribati	East Asia & Pacific	Lower middle income	20.39	6.32	0.00
Korea Demo	East Asia & Pacific	Low income	49.73	28.15	2.22
Korea Rep	East Asia & Pacific	High income	93.00	93.00	12.12
Kuwait	Middle East & North Africa	High income	88.70	88.70	88.70
Kyrgyzstan	Eastern Europe & Central Asia	Lower middle income	26.85	8.67	0.00
Lao Peoples Democratic Republic	East Asia & Pacific	Lower middle income	24.71	11.78	0.00
Latvia	Eastern Europe & Central Asia	High income	69.50	59.00	5.87
Lebanon	Middle East & North Africa	Upper middle income	55.00	42.80	25.08
Lesotho	Sub-Saharan Africa	Lower middle income	2.87	0.00	0.00
Liberia	Sub-Saharan Africa	Low income	0.00	0.00	0.00
Libya	Middle East & North Africa	Upper middle income	29.39	20.26	17.55
Liechtenstein	Western Europe	High income	74.33	74.33	6.86
Lithuania	Eastern Europe & Central Asia	High income	75.90	75.90	11.90
Luxembourg	Western Europe	High income	87.80	87.80	29.06
Macao SAR	East Asia & Pacific	High income	91.56	85.62	15.87
Macedonia FYR	Eastern Europe & Central Asia	Upper middle income	46.90	33.66	7.16
Madagascar	Sub-Saharan Africa	Low income	0.00	0.00	0.00
Malawi	Sub-Saharan Africa	Low income	0.00	0.00	0.00
Malaysia	East Asia & Pacific	Upper middle income	68.30	22.90	0.00
Maldives	Southern Asia	Upper middle income	45.40	37.08	30.14
Mali	Sub-Saharan Africa	Low income	0.00	0.00	0.00
Malta	Middle East & North Africa	High income	100.00	100.00	67.19
Marshall Islands	East Asia & Pacific	Upper middle income	47.25	30.77	20.22
Mauritania	Sub-Saharan Africa	Lower middle income	7.10	0.00	0.00
Mauritius	Sub-Saharan Africa	Upper middle income	50.45	40.90	10.18
Mexico	Latin America & Caribbean	Upper middle income	91.70	43.40	20.06
Micronesia (Fed. States of)	East Asia & Pacific	Lower middle income	27.64	16.09	0.00
Moldova	Eastern Europe & Central Asia	Lower middle income	36.10	16.60	0.00
Monaco	Western Europe	High income	99.69	99.69	19.22
Mongolia	East Asia & Pacific	Lower middle income	53.48	36.88	7.34
Montenegro	Eastern Europe & Central Asia	Upper middle income	60.95	30.60	0.00
