Country	Region	Economic_Classification	WWp_million_m3_yr	WWc_million_m3_yr	WWt_million_m3_yr	WWr_million_m3_yr
Afghanistan	Southern Asia	Low income	229.512152	0.000000	0.000000	0.000000
Albania	Eastern Europe & Central Asia	Upper middle income	27.490550	10.548370	9.181844	2.620801
Algeria	Middle East & North Africa	Upper middle income	805.514690	692.742633	335.899626	64.118969
American Samoa	East Asia & Pacific	Upper middle income	1.614275	0.823439	0.695384	0.095869
Andorra	Western Europe	High income	20.009300	20.009300	20.009300	9.626106
Angola	Sub-Saharan Africa	Lower middle income	218.000000	16.568000	9.341338	0.000000
Antigua and Barbuda	Latin America & Caribbean	High income	4.884733	2.481489	2.168832	2.168832
Argentina	Latin America & Caribbean	Upper middle income	2971.941870	1396.812679	350.689141	87.969479
Armenia	Eastern Europe & Central Asia	Lower middle income	96.336106	47.745378	14.065071	0.795702
Aruba	Latin America & Caribbean	High income	8.283904	6.102524	5.385157	5.212601
Australia	East Asia & Pacific	High income	2142.762560	2037.767195	1990.626418	1048.882273
Austria	Western Europe	High income	1899.227680	1899.227680	1899.227680	2.275393
Azerbaijan	Eastern Europe & Central Asia	Upper middle income	390.475336	202.121090	148.715357	40.569427
Bahamas	Latin America & Caribbean	High income	32.075948	22.089619	20.206290	12.865141
Bahrain	Middle East & North Africa	High income	136.866190	88.826157	88.826157	31.698210
Bangladesh	Southern Asia	Lower middle income	568.548000	14.213700	11.370960	0.000000
Barbados	Latin America & Caribbean	High income	18.381354	10.126171	8.862548	8.605686
Belarus	Eastern Europe & Central Asia	Upper middle income	1220.476050	958.073699	766.458959	9.511464
Belgium	Western Europe	High income	895.506160	700.285817	700.285817	345.173291
Belize	Latin America & Caribbean	Upper middle income	11.848254	5.115607	3.678229	0.000000
Benin	Sub-Saharan Africa	Low income	53.236947	0.222453	0.000000	0.000000
Bermuda	North America	High income	9.573862	9.573862	8.943046	5.571891
Bhutan	Southern Asia	Lower middle income	13.852821	3.527455	1.988608	0.000000
Bolivia (Plurinational State of)	Latin America & Caribbean	Lower middle income	192.241698	50.751808	26.913838	0.000000
Bosnia and Herzegovina	Eastern Europe & Central Asia	Upper middle income	174.667560	91.595668	54.670946	0.000000
Botswana	Sub-Saharan Africa	Upper middle income	68.941824	32.224361	24.819419	11.789346
Brazil	Latin America & Caribbean	Upper middle income	18492.493160	10152.378745	7544.937209	123.899704
British Virgin Islands	Latin America & Caribbean	High income	2.441467	1.937103	1.723178	1.723178
Brunei Darussalam	East Asia & Pacific	High income	36.276183	27.615678	24.719292	0.000000
Bulgaria	Eastern Europe & Central Asia	Upper middle income	378.525850	309.255619	206.675114	48.309024
Burkina Faso	Sub-Saharan Africa	Low income	60.634620	2.073704	1.212692	1.206629
Burundi	Sub-Saharan Africa	Low income	53.765308	0.000000	0.000000	0.000000
Cabo Verde	Sub-Saharan Africa	Lower middle income	3.637950	1.006794	0.599209	0.599209
Cambodia	East Asia & Pacific	Lower middle income	170.119799	16.790817	0.000000	0.000000
Cameroon	Sub-Saharan Africa	Lower middle income	50.057200	0.300343	0.000000	0.000000
Canada	North America	High income	7051.475650	6177.092669	4795.003442	244.751980
Cayman Islands	Latin America & Caribbean	High income	5.784143	5.596164	5.091366	4.518035
Central African Republic	Sub-Saharan Africa	Low income	18.555825	0.000000	0.000000	0.000000
Chad	Sub-Saharan Africa	Low income	63.500703	0.000000	0.000000	0.000000
Channel Islands	Western Europe	High income	18.042210	14.940609	13.764781	2.469880
Chile	Latin America & Caribbean	High income	1128.134310	1127.006176	947.632820	39.371887
China	East Asia & Pacific	Upper middle income	63727.700320	31226.573157	31226.573157	8603.239543
Colombia	Latin America & Caribbean	Upper middle income	1785.623200	1214.223776	201.775422	0.000000
Comoros	Sub-Saharan Africa	Low income	6.281898	0.175027	0.000000	0.000000
Congo Dem Republic	Sub-Saharan Africa	Low income	350.650375	0.000000	0.000000	0.000000
Congo Rep	Sub-Saharan Africa	Lower middle income	36.192426	7.702667	2.867713	0.000000
Costa Rica	Latin America & Caribbean	Upper middle income	369.769290	101.316785	56.204932	0.000000
Cote d Ivoire	Sub-Saharan Africa	Lower middle income	157.000000	9.577000	0.000000	0.000000
Croatia	Eastern Europe & Central Asia	Upper middle income	404.530040	298.543170	83.333188	0.000000
Cuba	Latin America & Caribbean	Upper middle income	1136.426080	858.569903	279.560816	13.782198
Curacao	Latin America & Caribbean	High income	11.534804	8.257963	7.112273	7.112273
Cyprus	Eastern Europe & Central Asia	High income	25.890000	16.181250	16.181250	16.181250
Czech Republic	Eastern Europe & Central Asia	High income	908.025320	879.876535	878.968510	115.181922
Denmark	Western Europe	High income	541.705060	375.401607	375.401607	87.928065
Djibouti	Middle East & North Africa	Lower middle income	12.893954	1.875814	0.410148	0.120441
