Entity,Day,Daily new confirmed deaths due to COVID-19 per million people
World,2020-03-01,0.0070097623
World,2020-03-02,0.00838668
World,2020-03-03,0.008511854
World,2020-03-04,0.010890167
World,2020-03-05,0.011140515
World,2020-03-06,0.012267085
World,2020-03-07,0.0127677815
World,2020-03-08,0.017274057
World,2020-03-09,0.027913876
World,2020-03-10,0.02165516
World,2020-03-11,0.033671893
World,2020-03-12,0.038178172
World,2020-03-13,0.040055785
World,2020-03-14,0.050194908
World,2020-03-15,0.120542884
World,2020-03-16,0.07059832
World,2020-03-17,0.073602505
World,2020-03-18,0.07973605
World,2020-03-19,0.09913807
World,2020-03-20,0.10301848
World,2020-03-21,0.13318549
World,2020-03-22,0.6545366
World,2020-03-23,0.14933297
World,2020-03-24,0.15471548
World,2020-03-25,0.18726079
World,2020-03-26,0.20002858
World,2020-03-27,0.22906902
World,2020-03-28,0.28276882
World,2020-03-29,1.5862092
World,2020-03-30,0.30304706
World,2020-03-31,0.36300555
World,2020-04-01,0.37877753
World,2020-04-02,0.42822137
World,2020-04-03,0.4750366
World,2020-04-04,0.51709515
World,2020-04-05,2.14699
World,2020-04-06,0.55076706
World,2020-04-07,0.6106004
World,2020-04-08,0.5915739
World,2020-04-09,0.66242254
World,2020-04-10,0.7139944
World,2020-04-11,0.70197767
World,2020-04-12,2.1369762
World,2020-04-13,0.68870914
World,2020-04-14,0.65215826
World,2020-04-15,0.6730624
World,2020-04-16,0.7343978
World,2020-04-17,0.77795845
World,2020-04-18,0.9157754
World,2020-04-19,1.8112726
World,2020-04-20,0.636887
World,2020-04-21,0.6486534
World,2020-04-22,0.6843281
World,2020-04-23,0.7397803
World,2020-04-24,0.6989735
World,2020-04-25,0.6870819
World,2020-04-26,1.463288
World,2020-04-27,0.6201136
World,2020-04-28,0.58043337
World,2020-04-29,0.617485
World,2020-04-30,0.68295115
World,2020-05-01,0.71674824
World,2020-05-02,0.70060074
World,2020-05-03,1.2304636
World,2020-05-04,0.6003361
World,2020-05-05,0.5570258
World,2020-05-06,0.5538964
World,2020-05-07,0.75617814
World,2020-05-08,0.7251349
World,2020-05-09,0.69496787
World,2020-05-10,0.98474646
World,2020-05-11,0.64690095
World,2020-05-12,0.52460563
World,2020-05-13,0.5172203
World,2020-05-14,0.6385143
World,2020-05-15,0.61648357
World,2020-05-16,0.68858397
World,2020-05-17,0.89462095
World,2020-05-18,0.5870676
World,2020-05-19,0.4920603
World,2020-05-20,0.5390007
World,2020-05-21,0.6377632
World,2020-05-22,0.62637234
World,2020-05-23,0.61723465
World,2020-05-24,0.85005885
World,2020-05-25,0.5288615
World,2020-05-26,0.50770706
World,2020-05-27,0.51897275
World,2020-05-28,0.57555157
World,2020-05-29,0.63613594
World,2020-05-30,0.6625477
World,2020-05-31,0.7470404
World,2020-06-01,0.580183
World,2020-06-02,0.51972383
World,2020-06-03,0.5296126
World,2020-06-04,0.6559135
