Disease,Critical value,Se (%),Sp (%),PPV (%),Before 4 weeks,Before 3 weeks,Before 2 weeks,Before 1 week
Influenza-like illness,10.0,80.5,96.3,23.0,7.1,8.9,24.2,59.8
Influenza-like illness,15.0,69.1,97.8,28.1,4.5,7.1,19.0,69.5
Influenza-like illness,20.0,56.6,98.7,33.0,2.9,5.0,14.0,78.1
Measles,0.3,71.6,92.8,15.3,35.9,23.5,24.3,16.2
Measles,0.5,66.6,95.6,19.7,32.0,22.2,27.0,18.9
Measles,1.0,43.6,98.7,28.6,19.6,19.8,32.3,28.3
Rubella,0.5,86.6,89.7,13.1,57.6,20.6,14.1,7.8
Rubella,1.0,80.8,95.7,22.4,43.6,25.0,21.1,10.3
Rubella,1.5,61.9,98.6,34.6,28.8,29.1,25.5,16.6
Chickenpox,3.0,87.8,88.9,12.7,46.5,25.3,21.6,6.6
Chickenpox,4.0,71.5,95.6,19.1,29.5,28.5,30.7,11.4
Chickenpox,5.0,51.7,98.4,26.3,19.3,26.2,37.1,17.4
Mumps,1.0,97.0,74.2,6.2,71.5,24.5,4.5,2.1
Mumps,2.0,86.2,92.7,13.9,41.9,38.3,12.8,7.0
Mumps,3.0,66.6,97.9,24.0,23.2,39.0,22.0,15.8
Pertussis,0.1,22.6,93.8,3.6,27.5,25.0,22.5,25.0
Pertussis,0.2,22.2,95.3,4.5,26.7,25.0,22.1,26.3
Pertussis,0.3,20.3,97.4,6.9,24.7,25.6,22.8,26.9
Streptococcal infection,1.0,92.0,82.4,8.6,58.6,21.5,11.3,8.5
Streptococcal infection,2.0,68.5,96.1,18.0,31.3,20.1,22.1,22.4
Streptococcal infection,3.0,34.8,99.2,27.4,17.4,22.9,23.2,36.5
Atypical pneumonia,0.5,53.2,91.3,7.6,33.9,25.9,19.7,20.4
Atypical pneumonia,0.7,42.2,96.2,11.2,26.0,22.1,23.5,28.4
Atypical pneumonia,0.9,39.7,97.3,13.4,25.0,21.0,24.3,30.0
Infectious diarrhoea,5.0,93.7,83.2,13.1,49.8,19.3,16.7,14.2
Infectious diarrhoea,10.0,62.4,97.8,31.4,16.28,16.5,25.6,41.6
Infectious diarrhoea,12.0,40.5,99.2,39.0,11.5,13.6,25.6,49.2
Rotavirus infection,1.0,87.9,83.7,10.4,50.8,18.3,16.8,14.0
Rotavirus infection,2.0,75.8,94.9,19.9,31.1,19.2,21.5,20.3
Rotavirus infection,3.0,57.5,98.4,31.0,18.8,18.2,23.4,39.6
Hand-foot-and-mouth disease,1.0,95.2,88.9,16.6,43.1,25.6,17.6,11.5
Hand-foot-and-mouth disease,2.0,84.9,96.7,29.7,23.2,21.0,24.4,31.4
Hand-foot-and-mouth disease,3.0,59.7,98.9,40.9,13.3,15.7,25.2,45.0
Erythema infectiosum,0.7,61.1,95.4,15.6,32.0,23.9,21.6,21.6
Erythema infectiosum,1.0,58.1,96.7,18.7,27.4,25.5,23.1,24.0
Exanthema subitum,1.5,58.7,94.1,8.1,34.4,22.4,20.4,21.1
Exanthema subitum,2.0,48.1,96.4,12.1,25.3,20.1,20.3,26.7
Exanthema subitum,2.5,9.1,99.4,11.7,5.0,19.2,23.0,34.8
Herpangina,1.0,93.3,89.4,19.1,38.1,28.1,20.5,13.3
Herpangina,2.0,85.0,95.9,29.7,19.6,21.6,30.2,28.8
Herpangina,3.0,71.4,98.1,39.2,10.7,13.4,21.0,34.2
MCLS (Kawasaki disease),0.1,87.7,98.0,5.6,26.4,25.5,23.6,25.4
MCLS (Kawasaki disease),0.2,38.7,99.3,9.9,6.2,12.2,15.0,24.7
MCLS (Kawasaki disease),0.3,18.8,99.6,14.3,3.0,17.4,31.4,35.4
Pharyngoconjunctival fever,0.1,33.3,96.4,11.2,30.9,23.0,25.6,32.0
Pharyngoconjunctival fever,0.3,28.7,98.4,17.7,20.1,23.4,26.0,33.6
Pharyngoconjunctival fever,0.5,22.5,99.2,22.2,15.1,22.5,28.0,36.4
