Entity,Year,Population - Sex: all - Age: all - Variant: estimates
World,1950,2493092843
World,1951,2536927039
World,1952,2584086332
World,1953,2634106246
World,1954,2685894869
World,1955,2740213784
World,1956,2795409978
World,1957,2852618346
World,1958,2911249658
World,1959,2965950358
World,1960,3015470890
World,1961,3064869656
World,1962,3123374299
World,1963,3192807820
World,1964,3264487340
World,1965,3334533717
World,1966,3404041107
World,1967,3473412894
World,1968,3545187239
World,1969,3619491592
World,1970,3694683801
World,1971,3769847834
World,1972,3844917687
World,1973,3920805030
World,1974,3996416108
World,1975,4070735264
World,1976,4144246391
World,1977,4217863819
World,1978,4292097508
World,1979,4368539472
World,1980,4447606208
World,1981,4528777285
World,1982,4612673436
World,1983,4697327604
World,1984,4782175500
World,1985,4868943460
World,1986,4958072822
World,1987,5049746378
World,1988,5141992550
World,1989,5234431714
World,1990,5327803075
World,1991,5418735879
World,1992,5505989821
World,1993,5591544841
World,1994,5675551281
World,1995,5758878997
World,1996,5842055726
World,1997,5924787787
World,1998,6007066714
World,1999,6089006330
World,2000,6171703018
World,2001,6254936479
World,2002,6337730319
World,2003,6420361649
World,2004,6503377778
World,2005,6586970145
World,2006,6671452018
World,2007,6757308750
World,2008,6844457675
World,2009,6932766459
World,2010,7021732131
World,2011,7110923797
World,2012,7201202531
World,2013,7291793608
World,2014,7381616239
World,2015,7470491904
World,2016,7558554580
World,2017,7645618013
World,2018,7729902724
World,2019,7811293714
World,2020,7887001284
World,2021,7954448405
World,2022,8021407170
World,2023,8091734935
