Entity,Day,Weekly deaths per million people
World,2020-03-01,0.06446478
World,2020-03-02,0.052948743
World,2020-03-03,0.051571824
World,2020-03-04,0.054701183
World,2020-03-05,0.061085075
World,2020-03-06,0.06621722
World,2020-03-07,0.07097384
World,2020-03-08,0.08123814
World,2020-03-09,0.10076533
World,2020-03-10,0.11390864
World,2020-03-11,0.13669036
World,2020-03-12,0.16372803
World,2020-03-13,0.19151673
World,2020-03-14,0.22894385
World,2020-03-15,0.3322127
World,2020-03-16,0.37489712
World,2020-03-17,0.42684448
World,2020-03-18,0.47290862
World,2020-03-19,0.5338685
World,2020-03-20,0.5968312
World,2020-03-21,0.6798218
World,2020-03-22,1.2138155
World,2020-03-23,1.2925501
World,2020-03-24,1.3736631
World,2020-03-25,1.4811878
World,2020-03-26,1.5820783
World,2020-03-27,1.7081289
World,2020-03-28,1.8577123
World,2020-03-29,2.7893848
World,2020-03-30,2.9430988
World,2020-03-31,3.151389
World,2020-04-01,3.3429058
World,2020-04-02,3.5710986
World,2020-04-03,3.817066
World,2020-04-04,4.0513926
World,2020-04-05,4.6121736
World,2020-04-06,4.8598933
World,2020-04-07,5.107488
World,2020-04-08,5.3202844
World,2020-04-09,5.554486
World,2020-04-10,5.7934437
World,2020-04-11,5.978326
World,2020-04-12,5.9683123
World,2020-04-13,6.106254
World,2020-04-14,6.147812
World,2020-04-15,6.2293005
World,2020-04-16,6.3012757
World,2020-04-17,6.36524
World,2020-04-18,6.5790377
World,2020-04-19,6.253334
World,2020-04-20,6.201512
World,2020-04-21,6.198007
World,2020-04-22,6.209273
World,2020-04-23,6.2146554
World,2020-04-24,6.13567
World,2020-04-25,5.9069767
World,2020-04-26,5.558992
World,2020-04-27,5.5422187
World,2020-04-28,5.4739985
World,2020-04-29,5.4071555
World,2020-04-30,5.3503265
World,2020-05-01,5.368101
World,2020-05-02,5.38162
World,2020-05-03,5.1487956
World,2020-05-04,5.1290183
World,2020-05-05,5.1056104
World,2020-05-06,5.042022
World,2020-05-07,5.115249
World,2020-05-08,5.123636
World,2020-05-09,5.118003
World,2020-05-10,4.872286
World,2020-05-11,4.9188504
World,2020-05-12,4.8864303
World,2020-05-13,4.8497543
World,2020-05-14,4.7320905
World,2020-05-15,4.6234393
World,2020-05-16,4.6170554
World,2020-05-17,4.52693
World,2020-05-18,4.4670963
World,2020-05-19,4.4345512
World,2020-05-20,4.4563313
World,2020-05-21,4.45558
World,2020-05-22,4.465469
World,2020-05-23,4.3941197
World,2020-05-24,4.349558
World,2020-05-25,4.291352
World,2020-05-26,4.3069983
World,2020-05-27,4.2869706
World,2020-05-28,4.2247586
World,2020-05-29,4.2345223
World,2020-05-30,4.2798357
World,2020-05-31,4.176817
World,2020-06-01,4.2281384
World,2020-06-02,4.240155
World,2020-06-03,4.250795
World,2020-06-04,4.331157
World,2020-06-05,4.3753433
World,2020-06-06,4.397249
World,2020-06-07,4.366331
World,2020-06-08,4.4121447
World,2020-06-09,4.3980002
World,2020-06-10,4.434301
World,2020-06-11,4.4449406
World,2020-06-12,4.4499474
World,2020-06-13,4.447444
World,2020-06-14,4.41565
World,2020-06-15,4.3801003
World,2020-06-16,4.424662
World,2020-06-17,4.611923
World,2020-06-18,4.6350803
World,2020-06-19,4.649726
World,2020-06-20,4.658363
