,disease,platform,ptrs,viral_family
0,chikungunya,Both mRNA and traditional,0.8,togaviridae
1,chikungunya,Traditional only,0.622,togaviridae
2,chikungunya,mRNA only,0.44,togaviridae
3,chikungunya,Either independent,0.7883199999999999,togaviridae
8,cchf,Both mRNA and traditional,0.5725,nairoviridae
9,cchf,Traditional only,0.2,nairoviridae
10,cchf,mRNA only,0.13625,nairoviridae
11,cchf,Either independent,0.30899999999999994,nairoviridae
12,ebola,Both mRNA and traditional,0.83,filoviridae
13,ebola,Traditional only,0.648,filoviridae
14,ebola,mRNA only,0.386,filoviridae
15,ebola,Either independent,0.783872,filoviridae
16,flu,Both mRNA and traditional,0.82375,orthmyxoviridae
17,flu,Traditional only,0.6679999999999999,orthmyxoviridae
18,flu,mRNA only,0.507,orthmyxoviridae
19,flu,Either independent,0.836324,orthmyxoviridae
20,lassa,Both mRNA and traditional,0.73625,arenaviridae
21,lassa,Traditional only,0.602,arenaviridae
22,lassa,mRNA only,0.36,arenaviridae
23,lassa,Either independent,0.7452799999999999,arenaviridae
24,mers,Both mRNA and traditional,0.8,coronaviridae
25,mers,Traditional only,0.502,coronaviridae
26,mers,mRNA only,0.42100000000000004,coronaviridae
27,mers,Either independent,0.711658,coronaviridae
28,nipah,Both mRNA and traditional,0.63375,paramyxoviridae
29,nipah,Traditional only,0.48,paramyxoviridae
30,nipah,mRNA only,0.32,paramyxoviridae
31,nipah,Either independent,0.6464000000000001,paramyxoviridae
32,rift_valley_fever,Both mRNA and traditional,0.58375,phenuiviridae
33,rift_valley_fever,Traditional only,0.46,phenuiviridae
34,rift_valley_fever,mRNA only,0.34,phenuiviridae
35,rift_valley_fever,Either independent,0.6436,phenuiviridae
36,zika,Both mRNA and traditional,0.67875,flaviviridae
37,zika,Traditional only,0.486,flaviviridae
38,zika,mRNA only,0.28600000000000003,flaviviridae
39,zika,Either independent,0.633004,flaviviridae
