lambda_true,p_true,sigma_true,xi_true,n,p_hat,p_hdi_l,p_hdi_u,lambda_hat,lambda_hdi_l,lambda_hdi_u,sigma_hat,sigma_hdi_l,sigma_hdi_u,xi_hat,xi_hdi_l,xi_hdi_u,theta_hat,theta_hdi_l,theta_hdi_u,sample_ns,num_above_THRESHOLD,p_mle,lambda_mle,xi_mle,sigma_mle
0.1,0.09516258196404048,1.0,0.3,100,0.094,0.045,0.137,0.099,0.045,0.146,0.813,0.205,1.348,0.184,-0.473,0.846,0.842,0.401,1.272,100,9,0.09,0.09431067947124129,-0.35960662699767537,1.1604823736808545
0.1,0.09516258196404048,1.0,0.3,100,0.103,0.056,0.151,0.109,0.057,0.164,0.973,0.231,1.719,0.528,-0.138,1.2,1.359,0.432,2.179,100,10,0.1,0.10536051565782628,0.3140161486769308,1.0249894963466937
0.1,0.09516258196404048,1.0,0.3,100,0.055,0.019,0.089,0.057,0.019,0.093,3.434,0.559,5.909,0.099,-0.483,0.811,3.33,1.213,5.94,100,5,0.05,0.05129329438755058,-1.6294117052592134,10.485423307292468
0.1,0.09516258196404048,1.0,0.3,100,0.074,0.033,0.114,0.078,0.032,0.119,0.829,0.164,1.573,0.463,-0.348,1.288,1.046,0.347,1.697,100,7,0.07,0.0725706928348355,0.1919754830537619,0.8756918521457722
0.1,0.09516258196404048,1.0,0.3,200,0.107,0.072,0.142,0.113,0.073,0.152,0.68,0.199,1.157,1.018,0.307,1.697,1.293,0.5,2.046,200,21,0.105,0.11093156070728166,0.8967202834573413,0.7282764704805323
0.1,0.09516258196404048,1.0,0.3,200,0.057,0.03,0.082,0.059,0.03,0.086,1.001,0.135,1.779,1.014,0.206,1.824,1.857,0.479,3.23,200,11,0.055,0.05657035148839435,0.8139210726480992,1.1320343270047486
0.1,0.09516258196404048,1.0,0.3,200,0.067,0.038,0.094,0.069,0.038,0.098,1.388,0.569,2.175,0.02,-0.475,0.511,1.295,0.76,1.911,200,13,0.065,0.06720874969344999,-0.41953114802091107,1.9070252494236313
0.1,0.09516258196404048,1.0,0.3,200,0.082,0.05,0.111,0.085,0.051,0.118,0.613,0.233,0.987,0.242,-0.336,0.798,0.7,0.394,0.989,200,16,0.08,0.08338160893905101,0.056195622855616065,0.6486784142239893
0.1,0.09516258196404048,1.0,1.2,100,0.123,0.072,0.177,0.132,0.073,0.192,2.141,0.282,3.821,0.717,-0.083,1.528,3.281,1.053,5.481,100,12,0.12,0.12783337150988489,0.53835877649099,2.212500928101159
0.1,0.09516258196404048,1.0,1.2,100,0.074,0.032,0.114,0.077,0.033,0.121,1.529,0.088,3.402,0.774,-0.464,1.891,1.991,0.355,3.501,100,7,0.07,0.0725706928348355,-1.5905429576138412,9.934478169116
0.1,0.09516258196404048,1.0,1.2,100,0.093,0.047,0.138,0.099,0.048,0.148,1.348,0.463,2.105,-0.0,-0.488,0.487,1.241,0.627,1.893,100,9,0.09,0.09431067947124129,-1.0795067698239151,3.2666836835144046
0.1,0.09516258196404048,1.0,1.2,100,0.094,0.047,0.14,0.099,0.046,0.148,1.72,0.132,3.481,0.707,-0.266,1.681,2.41,0.435,4.067,100,9,0.09,0.09431067947124129,0.3875268037873991,1.9372324191604846
0.1,0.09516258196404048,1.0,1.2,200,0.102,0.067,0.136,0.108,0.068,0.145,0.807,0.206,1.383,1.02,0.297,1.751,1.524,0.539,2.409,200,20,0.1,0.10536051565782628,0.8742934271805742,0.8670059784544828
0.1,0.09516258196404048,1.0,1.2,200,0.072,0.041,0.1,0.075,0.042,0.105,1.991,0.409,3.597,1.127,0.352,1.91,3.977,1.006,6.776,200,14,0.07,0.0725706928348355,0.9622147065715443,2.2088199108821702
0.1,0.09516258196404048,1.0,1.2,200,0.077,0.047,0.107,0.08,0.048,0.113,0.975,0.2,1.776,1.736,0.858,2.635,2.558,0.575,4.495,200,15,0.075,0.0779615414697118,1.7663856547005714,1.062615036913484
0.1,0.09516258196404048,1.0,1.2,200,0.112,0.075,0.147,0.119,0.078,0.159,1.342,0.362,2.256,0.854,0.141,1.544,2.311,1.014,3.643,200,22,0.11,0.11653381625595151,0.7213637143759105,1.4032695078356485
0.1,0.09516258196404048,2.0,0.3,100,0.113,0.061,0.162,0.121,0.061,0.174,2.477,0.623,4.195,0.248,-0.388,0.856,2.786,1.184,4.191,100,11,0.11,0.11653381625595151,-0.01784542870840307,2.7589619021257414
0.1,0.09516258196404048,2.0,0.3,100,0.094,0.045,0.138,0.1,0.046,0.149,2.624,1.27,3.975,-0.138,-0.49,0.258,2.147,1.183,3.19,100,9,0.09,0.09431067947124129,-1.4817750163496086,6.775681231421207
0.1,0.09516258196404048,2.0,0.3,100,0.133,0.077,0.185,0.144,0.08,0.204,1.224,0.227,2.289,0.451,-0.455,1.197,1.498,0.574,2.303,100,13,0.13,0.13926206733350766,0.2159548674074708,1.3110776147341523
0.1,0.09516258196404048,2.0,0.3,100,0.144,0.087,0.201,0.157,0.091,0.225,2.533,0.827,4.21,0.383,-0.245,0.949,3.229,1.508,4.902,100,14,0.14,0.15082288973458366,0.19594433235366565,2.6744311700038255
0.1,0.09516258196404048,2.0,0.3,200,0.102,0.068,0.137,0.108,0.07,0.147,1.99,0.546,3.355,0.377,-0.297,1.026,2.454,1.307,3.628,200,20,0.1,0.10536051565782628,0.18921212506063195,2.1150898354083063
0.1,0.09516258196404048,2.0,0.3,200,0.097,0.062,0.129,0.102,0.065,0.138,2.637,1.366,3.881,-0.053,-0.455,0.307,2.361,1.489,3.116,200,19,0.095,0.0998203352822109,-0.246858676988209,2.9396438307615265
0.1,0.09516258196404048,2.0,0.3,200,0.112,0.077,0.148,0.119,0.076,0.156,2.117,1.15,3.201,0.113,-0.278,0.477,2.249,1.418,3.051,200,22,0.11,0.11653381625595151,-0.017599170619910034,2.2120710167400968
0.1,0.09516258196404048,2.0,0.3,200,0.116,0.079,0.153,0.124,0.081,0.165,2.209,1.098,3.218,0.027,-0.352,0.394,2.157,1.388,2.839,200,23,0.115,0.12216763397420753,-0.12013414008751383,2.3520172698681883
0.1,0.09516258196404048,2.0,1.2,100,0.094,0.047,0.14,0.099,0.048,0.15,3.389,1.291,5.388,-0.036,-0.485,0.435,3.005,1.58,4.566,100,9,0.09,0.09431067947124129,-1.0396504154228912,7.68111098694761
0.1,0.09516258196404048,2.0,1.2,100,0.094,0.045,0.138,0.099,0.046,0.149,17.491,1.772,35.897,0.79,-0.181,1.753,26.437,5.522,46.956,100,9,0.09,0.09431067947124129,0.5788570993445963,18.024656311324055
